,experiment,date,hour,device_make,platform_os,browser,yes,no
3447,control,2020-07-03,15,Samsung SM-G975F,6,Facebook,0,0
3448,exposed,2020-07-03,10,Samsung SM-A405FN,6,Chrome Mobile WebView,0,1
3458,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3460,control,2020-07-03,15,Samsung SM-J530F,6,Facebook,0,0
7694,control,2020-07-03,15,Samsung SM-A520F,6,Samsung Internet,0,0
7693,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile,0,0
3465,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3467,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3468,control,2020-07-03,15,Samsung SM-G975F,6,Samsung Internet,0,0
3471,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3475,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,0
3486,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,0,0
3490,exposed,2020-07-03,9,Samsung SM-N920I,6,Chrome Mobile WebView,0,1
3496,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
7698,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3580,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3279,exposed,2020-07-03,6,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
7716,control,2020-07-03,15,Samsung SM-A405FN,6,Facebook,0,0
3005,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,1,0
3007,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3012,control,2020-07-03,15,Samsung SM-J600FN,6,Samsung Internet,0,0
3027,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3030,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3035,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3036,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,1,0
3037,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,1,0
3039,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3000,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3045,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3050,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7744,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0,0
3061,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3064,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,0,0
3069,exposed,2020-07-03,5,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
3082,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3084,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3085,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3087,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3046,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,0
2998,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
2996,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2991,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2913,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2918,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
2920,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2924,control,2020-07-03,15,Generic Smartphone,6,Facebook,0,0
7755,exposed,2020-07-03,9,Generic Smartphone,6,Facebook,0,1
2932,control,2020-07-03,15,Samsung SM-A600FN,6,Samsung Internet,0,0
2933,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2934,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2936,control,2020-07-03,15,Samsung SM-G973F,6,Samsung Internet,0,0
2940,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2942,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2946,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,0,0
2951,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
2954,control,2020-07-03,15,Samsung SM-G965F,6,Facebook,0,0
2965,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2966,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2967,control,2020-07-03,15,Samsung SM-G973F,6,Samsung Internet,0,0
2975,control,2020-07-03,15,Samsung SM-G970F,6,Samsung Internet,0,0
2976,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,1,0
2987,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2989,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,1
3094,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3270,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0,0
3096,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3101,control,2020-07-03,15,Samsung SM-G770F,6,Facebook,0,0
3202,control,2020-07-03,15,Samsung SM-G955F,6,Samsung Internet,0,0
3212,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3213,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3216,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,1,0
3217,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3220,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3224,control,2020-07-03,15,LYA-L09,6,Chrome Mobile WebView,0,0
3226,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3229,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
3200,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3231,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3235,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3237,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0,1
3246,control,2020-07-03,15,Samsung $2,6,Samsung Internet,1,0
3253,control,2020-07-03,15,ELE-L29,6,Facebook,0,0
3257,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,0,0
7718,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,0,1
3262,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3263,exposed,2020-07-03,14,MAR-LX1A,6,Chrome Mobile WebView,0,0
3265,control,2020-07-03,15,Nokia undefined$2$3,6,Chrome Mobile,0,0
3233,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3191,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3186,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3185,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0,0
3106,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3108,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,0
3117,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,0,0
3120,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3121,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3126,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7738,control,2020-07-03,15,Samsung SM-G986B,6,Samsung Internet,0,0
7735,control,2020-07-03,15,Samsung SM-A520F,6,Samsung Internet,0,1
3137,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3143,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3148,control,2020-07-03,15,Samsung SM-G920F,6,Facebook,0,0
3151,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3152,control,2020-07-03,15,Samsung SM-G975F,6,Samsung Internet,0,0
7730,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3161,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3164,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3168,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3170,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3174,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3175,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,0
3183,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,0,0
3100,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3581,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3582,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3585,control,2020-07-03,15,Generic Smartphone,6,Facebook,0,0
4078,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4086,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,0
4087,control,2020-07-03,15,Samsung SM-G975F,6,Facebook,0,0
4088,control,2020-07-03,15,Samsung SM-G930L,6,Facebook,0,0
4089,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,0
4090,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile,0,0
4105,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4106,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4107,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
4077,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0,0
4108,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
4116,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4126,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4128,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0,0
4131,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4134,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,0,0
4135,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4136,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4138,control,2020-07-03,15,Generic Smartphone,6,Facebook,0,0
4140,control,2020-07-03,15,Samsung SM-J510FN,6,Samsung Internet,0,0
4112,control,2020-07-03,15,Samsung SM-A515F,6,Chrome Mobile WebView,0,1
4075,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4074,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7635,control,2020-07-03,15,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
7647,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,0,0
3949,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3954,control,2020-07-03,15,Samsung SM-A505FN,6,Samsung Internet,0,0
3956,exposed,2020-07-03,5,Generic Smartphone,6,Chrome Mobile,0,0
3961,exposed,2020-07-03,13,Samsung SM-A750FN,6,Chrome Mobile WebView,1,0
3968,exposed,2020-07-03,13,CLT-L29,6,Facebook,0,0
3969,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3970,exposed,2020-07-03,7,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
3975,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3976,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3989,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7642,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3997,exposed,2020-07-03,5,Generic Smartphone,6,Chrome Mobile,0,0
4013,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
4024,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4026,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4041,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4058,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4066,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile,0,0
4069,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
4071,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0,1
4141,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3932,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4142,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
4149,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4252,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4255,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4259,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
7620,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4264,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4266,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4269,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7616,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4279,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile WebView,0,0
4247,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
4281,exposed,2020-07-03,5,XiaoMi Redmi Note 8 Pro,6,Chrome Mobile WebView,0,0
4292,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
7614,control,2020-07-03,15,Samsung SM-J260F,6,Samsung Internet,0,0
4295,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7613,control,2020-07-03,15,VTR-L09,6,Chrome Mobile WebView,0,0
4300,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,0,0
4306,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4309,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
4310,control,2020-07-03,15,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
4311,control,2020-07-03,15,Samsung SM-G975F,6,Chrome Mobile WebView,0,0
4286,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4244,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4242,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,0,0
4238,control,2020-07-03,15,Samsung SM-G965F,6,Facebook,0,0
4152,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile WebView,0,0
4155,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4157,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
4166,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
4167,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4174,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4176,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7629,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4189,control,2020-07-03,15,Samsung SM-J320FN,6,Samsung Internet,0,0
4191,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4193,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,0
7626,control,2020-07-03,15,G3311,6,Facebook,1,0
4205,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,0
4206,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4216,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,0,0
4217,exposed,2020-07-03,14,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
4221,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4223,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4227,control,2020-07-03,15,Samsung SM-J415FN,6,Chrome Mobile WebView,0,0
4229,exposed,2020-07-03,8,Samsung SM-G920F,6,Chrome Mobile WebView,1,0
4234,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
4144,exposed,2020-07-03,6,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
3926,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3924,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3923,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile,0,0
3674,control,2020-07-03,15,Samsung GT-I9505,6,Chrome Mobile WebView,0,0
3678,control,2020-07-03,15,Samsung $2,6,Samsung Internet,0,0
3686,control,2020-07-03,15,Samsung SM-N976B,6,Chrome Mobile WebView,0,0
3692,control,2020-07-03,15,Samsung SM-N960F,6,Facebook,0,0
3694,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7670,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3699,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
3702,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3706,control,2020-07-03,15,Nokia undefined$2$3,6,Chrome Mobile,0,0
3663,control,2020-07-03,15,Generic Smartphone,6,Facebook,0,0
7667,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3712,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,0,1
3721,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7666,exposed,2020-07-03,3,VFD 820,6,Chrome Mobile WebView,0,0
3723,exposed,2020-07-03,8,Samsung SM-A600FN,6,Chrome Mobile WebView,0,0
3725,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0,0
7665,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0,0
3728,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3730,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,1,0
3732,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3710,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3661,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,1
3658,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3657,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
3586,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3592,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3594,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3602,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3605,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3606,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3609,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3612,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3616,control,2020-07-03,15,Samsung SM-A715F,6,Facebook,0,0
3620,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3625,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,0,0
3631,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3635,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
3639,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3640,control,2020-07-03,15,VOG-L09,6,Facebook,0,0
3644,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
3647,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3648,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
3650,control,2020-07-03,15,Samsung SM-J600FN,6,Facebook,0,0
3651,control,2020-07-03,15,Generic Smartphone,6,Facebook,0,0
3654,control,2020-07-03,15,Samsung SM-G988B,6,Chrome Mobile WebView,0,0
3738,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3747,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
3760,control,2020-07-03,15,Samsung SM-G960F,6,Samsung Internet,0,0
3763,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,0,1
3856,control,2020-07-03,15,SNE-LX1,6,Facebook,0,0
3857,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3859,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7657,control,2020-07-03,15,Pixel 2,6,Facebook,1,0
3869,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3874,exposed,2020-07-03,12,LG-$2,6,Chrome Mobile WebView,0,0
7655,control,2020-07-03,15,Samsung SM-G970F,6,Facebook,0,0
3880,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile WebView,1,0
3881,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3883,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3884,exposed,2020-07-03,1,Samsung SM-G975F,6,Samsung Internet,0,0
3889,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3890,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3891,control,2020-07-03,15,Samsung SM-A520F,6,Samsung Internet,0,0
3899,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
3900,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile,1,0
3901,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
7653,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0,0
